ID,Parent,Layer,Page Label,Space,Subject,Label,Internal Notes,Depth,Depth Unit,Status,Width,Width Unit,Height,Height Unit,Measurement,Measurement Unit,Cost Type,Unit Cost,Markup,Qty Added,Qty Total,Price Total,Page Index,Lock,Checkmark,Author,Date,Creation Date,Color,X,Y,X Center,Y Center,Document Width,Document Height,Comments,Length,Length Unit,Rise/Drop,Rise/Drop Unit,Unit,Area,Area Unit,Wall Area,Wall Area Unit,Volume,Volume Unit,Count,Capture,File Name,Slope,Sequence,3D View,Legend
WMKYBUSTEHXNUWFS,,,A1-1 - FLOOR PLAN,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,4,Locked,Unchecked,Thomas Luedke,12/1/2025 12:05:35 PM,12/1/2025 12:05:35 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
WBWMZGUNKMJEYXHZ,,,A1-1 - FLOOR PLAN,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,5,Locked,Unchecked,Thomas Luedke,12/1/2025 12:04:46 PM,12/1/2025 12:04:45 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
EPZKHCQZQWCYWYWD,,,A1-1 - FLOOR PLAN,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,6,Locked,Unchecked,Thomas Luedke,12/1/2025 12:03:32 PM,12/1/2025 12:03:31 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
UUNUVGMFMGAOXFJZ,,,A1-2 - ROOF PLAN,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,8,Locked,Unchecked,Thomas Luedke,12/1/2025 12:03:32 PM,12/1/2025 12:03:32 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
CVMROHNFEVWXVLGO,,,A2-1 - ELEVATIONS,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,10,Locked,Unchecked,Thomas Luedke,12/1/2025 12:04:46 PM,12/1/2025 12:04:46 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
GVZYEGOCVTDMOGGS,,,A2-1 - ELEVATIONS,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,11,Locked,Unchecked,Thomas Luedke,12/1/2025 12:03:33 PM,12/1/2025 12:03:32 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
AKDKQDLFZOCBBXYB,,,A3-1 - BUILDING SECTIONS,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,13,Locked,Unchecked,Thomas Luedke,12/1/2025 12:04:47 PM,12/1/2025 12:04:47 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
SKAOHVUIGQJRAKBP,,,A3-2 - BUILDING SECTIONS,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,15,Locked,Unchecked,Thomas Luedke,12/1/2025 12:04:47 PM,12/1/2025 12:04:47 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
ODRTZKOKTNOLHPTZ,,,A3-3 - WALL SECTIONS,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,17,Locked,Unchecked,Thomas Luedke,12/1/2025 12:04:48 PM,12/1/2025 12:04:48 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
DJUNHZPQLURBEDAC,,,A3-4 - WALL SECTIONS,,Superseded,,,,,,0,,0,,1,Count,Cost x M,0,0,0,,0.00,19,Locked,Unchecked,Thomas Luedke,12/1/2025 12:04:49 PM,12/1/2025 12:04:48 PM,#FF0000,2.7598 in,23.7871 in,22.7098 in,27.2386 in,39.9000 in,6.9031 in,,0,,0,,Count,0,,0,,0,,0,No,2425 Sale Creek CoG Construction Drawings for Permit.pdf,,,,
